subject_id,time,Acidovorax,Acinetobacter,Aeromonas,Aliarcobacter,Aquabacterium_A,Bacteroides,Brachymonas,Brevefilum,Brevundimonas,Cloacibacterium,Comamonas,Competibacter_A,Enterobacter,Fermentibacter,Flavobacterium,Giesbergeria,Hydrogenophaga,JAGOYM01,Janthinobacterium,Kaistella,Lactococcus_A,Lenti-01,Microthrix,Moraxella_A,Neisseria,Novosphingobium,Ottowia,Paracoccus,Phocaeicola,Prevotella,Propionivibrio,Pseudomonas_E,Pseudoxanthomonas,Pseudoxanthomonas_A,Psychrobacter,Rubrivivax,Streptococcus,Telluria,Thauera,Thermomonas,Thiothrix,Tolumonas,Trichococcus,UBA1413
Budapest,90,0.09732692,0.030022722,0.004426892,0.008442666,0.003436665,0.001228054,0.019331584,5.60278e-06,0.002117811,0.007020643,0.02409641,0.003420766,0.001111155,6.33757e-06,0.003104267,0.004696648,0.000504165,0.003841519,0.0021622,0.002022094,0.000381577,0.011437451,0.001115497,0.001174862,0.030662296,0.001789978,0.06297168,0.003494631,0.001829151,0.003865899,0.012564896,0.013438779,0.0139845,0.025518574,0.000218114,0.001302793,0.009600262,0.000898626,0.012408291,0.012079593,0.000146559,0.000454266,0.005989438,6.58772e-06
Bologna,69,0.16072458,0.037666302,0.008166559,0.008242963,0.000585342,0.002437245,0.027226957,7.43631e-06,0.002389142,0.012842896,0.020515146,0.000226789,0.001764296,6.5665e-06,0.00291839,0.004588959,0.001085929,0.001021849,0.001084593,0.001449994,0.000534079,0.001044059,0.000244947,0.039610375,0.08215533,0.001190618,0.037582673,0.002339514,0.010077909,0.004103407,0.008135313,0.012832228,0.010637843,0.011795516,0.00091902,0.000265936,0.007168985,0.000645685,0.009232601,0.012034292,0.002542928,0.001777161,0.006593164,3.30561e-06
Bologna,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,72,0.017900689,0.00352868,0.002955258,0.003492524,3.23346e-05,0.000309399,0.00618795,1.77988e-06,0.001645446,0.0017673,0.00204092,0.000290028,0.00092741,1.46081e-06,0.00082163,0.001343852,6.49473e-05,0.000335014,0.002005852,0.00033951,0.000170645,0.000659412,1.39924e-05,0.001006679,0.008818751,0.00015294,0.010600129,0.000762117,0.000226138,0.000430938,0.003456225,0.79441714,0.004349309,0.004866705,6.82181e-05,4.76874e-05,0.003613157,0.000605563,0.002776544,0.004498516,0.000203401,0.000407794,0.008427915,1.03254e-07
Bologna,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bologna,75,0.08280886,0.013286173,0.008152267,0.005247272,0.000293665,0.001168886,0.02799998,3.59169e-05,0.001300588,0.003570138,0.013396094,0.00011335,0.006150393,4.3013e-06,0.001289532,0.006954507,0.002934265,0.000308012,0.00090201,0.000525861,0.000306921,0.003045906,0.000323554,0.010898074,0.013035611,0.000802618,0.018961905,0.17842709,0.000949689,0.00735169,0.017223498,0.012834479,0.008838266,0.014197489,0.000682086,0.0003066,0.015094214,0.000420322,0.008184416,0.010919576,0.001826864,0.00138984,0.002778781,1.17178e-05
Bologna,77,0.13189413,0.013006759,0.005452264,0.004784138,0.000438082,0.00077676,0.042501416,2.24732e-05,0.00182386,0.009973519,0.016991302,0.000436221,0.001121806,1.31069e-05,0.00275721,0.011314915,0.002372505,0.000855144,0.00138965,0.001611822,0.000153838,0.00555418,9.18077e-05,0.01564002,0.022895208,0.002766704,0.046236634,0.007196898,0.001125276,0.001199013,0.022758774,0.020248082,0.016693484,0.013735548,0.007869737,0.001022667,0.007169095,0.000658324,0.018719224,0.035163373,0.00895493,0.001649581,0.006001755,3.54711e-05
Bologna,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
